title,description,author,price
"Snow White and the Seven Dwarfs","A fairy tale about a princess and seven dwarfs.","Grimm Brothers",10.99
"The Little Prince","A story about a young prince who travels to different planets.","Antoine de Saint-Exupéry",12.99
"The Hobbit","A fantasy novel about a hobbit's adventure.","J.R.R. Tolkien",15.99
"The Great Gatsby","A novel about the American dream and the 1920s.","F. Scott Fitzgerald",14.99
"1984","A dystopian novel about totalitarianism and surveillance.","George Orwell",9.99
"The Catcher in the Rye","A novel about teenage angst and alienation.","J.D. Salinger",13.99
"To Kill a Mockingbird","A novel about racial injustice in the Deep South.","Harper Lee",11.99
"The Alchemist","A philosophical book about following one's dreams.","Paulo Coelho",8.99
"The Da Vinci Code","A mystery thriller about a conspiracy in the art world.","Dan Brown",19.99
"The Lord of the Rings","An epic fantasy novel about the struggle against evil.","J.R.R. Tolkien",25.99